code_metier_bmo,nom_metier_bmo,offres_collectees,projets_recrutement,projets_difficiles,taux_difficulte_pct
M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",702,18127,10416,57.5
M1X80,Techniciens d'étude et de développement en informatique,0,9331,4017,43.1
M1X81,"Techniciens de production, d'exploitation, d'installation, et de maintenance, support et services aux utilisateurs en informatique",10,7667,3648,47.6
M2X93,Experts et consultants en systèmes d'information,145,4758,2137,44.9
M2X91,Chefs de projet et directeurs de service informatique,13,2190,988,45.1
M2X92,"Responsables et cadres de la production, de l'exploitation et de la maintenance informatique et télécom",36,1882,736,39.1
