date_collecte,type_dimension,valeur_dimension,nombre_offres
2026-08-15,Competence,Recruter et intégrer une personne,1
2026-08-31,Competence,SQL et SQL SERVER,1
2026-08-31,Competence,Cypress,1
2026-08-14,Competence,Circuits hydrauliques,3
2026-08-14,Competence,Développement Typescript/Angular,1
2026-08-14,Competence,Documenter les procédures techniques et les configurations,1
2026-08-14,Competence,"Réparer un équipement, une machine, une installation",1
2026-08-31,Competence,Respecter des normes et consignes,1
2026-08-31,Competence,"Vous êtes à l'aise avec FastAPI, les APIs, Docker",1
2026-08-14,Competence,Capacité à schématiser,1
2026-08-14,Competence,Windows Server,1
2026-08-31,Competence,Déployer le code de façon conteneurisée,2
2026-08-31,Competence,Application des méthodes de machine learning dans BI,1
2026-08-14,Competence,"Enseigner, développer des compétences",1
2026-08-31,Competence,Concevoir et maintenir un système de cybersécurité,3
2026-08-31,Competence,Mettre en place des solutions d'amélioration de la performance,2
2026-08-31,Competence,Xray,1
2026-08-31,Competence,Langage informatique SQL,1
2026-08-31,Competence,Présenter les évolutions du système d'information au commanditaire,2
2026-08-14,Competence,"Déployer, intégrer un logiciel, un système d'informations, une application",1
2026-08-14,Competence,Coordonner les équipes de développement ou de production pour respecter les délais,1
2026-08-14,Competence,conteneurisation,1
2026-08-31,Competence,Confluence,2
2026-08-14,Competence,Réaliser les essais de fonctionnement,1
2026-08-31,Competence,Développement JavaScript,1
2026-08-14,Competence,Ingénieur diplômé de l'école nationale supérieure d'informatique pour l'industrie et l'entreprise spécialité informatique,2
2026-08-14,Competence,"Collecter et analyser des données, des informations",3
2026-08-31,Competence,JavaScript,1
2026-08-14,Competence,Concevoir un projet de santé,1
2026-08-31,Competence,Analyser la recevabilité d'une demande de crédit,1
2026-08-14,Competence,Connaissance approfondie en mathématiques,3
2026-08-15,Competence,Intégration de systèmes,1
2026-08-14,Competence,Régler des caméras,1
2026-08-31,Competence,Pneumatique,2
2026-08-31,Competence,Optimiser l'utilisation des ressources informatiques,1
2026-08-31,Competence,Assurer la conformité des livrables de projet,1
2026-08-14,Competence,"Python (NumPy, pandas, Biopython)",1
2026-08-14,Competence,Installer le matériel et les équipements sur un lieu de tournage,1
2026-08-31,Competence,JSON,1
2026-08-14,Competence,Documenter les procédures techniques pour les utilisateurs,1
2026-08-31,Competence,Architecture de solutions cloud,1
2026-08-14,Competence,Créer une documentation technique,1
2026-08-14,Competence,Communiquer des résultats de recherche à des non-spécialistes,1
2026-08-31,Competence,Mlops,1
2026-08-31,Competence,Établir un cahier des charges,1
2026-08-14,Competence,Logiciel de supervision,2
