competence_code,competence_libelle_rome,nombre_offres,codes_rome_distincts
482455,Respecter les normes de confidentialité des données génétiques,1,1
104537,Paramétrer un programme d'automatisation pour un automate programmable,1,1
479261,Optimisation des processus DevOps,2,1
501946,Mettre en place des solutions de sauvegarde et de récupération des données,2,1
119494,Management stratégique,1,1
109862,Architecture web,4,3
400707,Animer une démarche agile et innovante,1,1
513111,Interpréter des résultats de campagne média,1,1
482454,Communiquer des résultats de recherche à des non-spécialistes,1,1
405431,Accompagner et former un client sur l'applicatif métier ou l'interface utilisateur,3,1
109971,Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives,6,2
522155,Déployer le code de façon conteneurisée,2,1
402072,"Concevoir, conduire et vérifier des travaux d'analyse en laboratoire dans le respect des Bonnes Pratiques de Laboratoire (BPL)",1,1
123775,Assembler les éléments d'un engin ou d'un matériel,1,1
107957,Laver des vitres ou d'autres surfaces,1,1
106408,Inspecter visuellement les produits finis pour détecter les défauts,1,1
508631,Collaborer avec des experts en éthique pour évaluer les projets d'IA,1,1
507960,Assurer la liaison entre les différents départements techniques,1,1
477206,Analyse de performance,1,1
494990,Gestion des brevets et propriété intellectuelle,1,1
504654,Préparer et présenter des rapports financiers détaillés aux parties prenantes,1,1
494049,Documentation technique,1,1
300575,Allouer et organiser les ressources d'un projet selon les besoins et contraintes,1,1
122776,Installer des équipements optionnels ou complémentaires d'adaptation aux engins de chantier,1,1
106740,"Positionner et fixer les groupes, condenseurs, tubes, câbles électriques",1,1
300026,Concevoir l'ingénierie de formation et les séquences pédagogiques,3,2
497176,Rédaction de publications scientifiques,1,1
122320,"Corriger des évaluations (exercices, travaux pratiques, examens)",1,1
501123,Optimiser des processus d'analyse de données,1,1
100518,Techniques de montage audiovisuel,1,1
300177,"Entretenir, nettoyer un produit ou du matériel",1,1
109916,Réaliser les relevés terrain et collecter des données alphanumériques et graphiques,1,1
498956,Techniques d'optimisation pour IA,1,1
477124,Gestion de bases de données biologiques,1,1
400454,Evaluer les risques SIC (système information et communication),1,1
403927,Collaborer dans un groupe pour réaliser un projet,5,1
484489,Améliorer la qualité du code par des revues systématiques,2,1
482516,Développer des tableaux de bord pour suivre les indicateurs de performance (KPI),2,1
300019,Accompagner l'appropriation d'un outil par ses utilisateurs,3,2
491247,Master mention informatique,6,4
117209,Améliorer les processus de reporting financier,2,1
109846,Concevoir une application web,35,5
109979,Surveiller le fonctionnement d'applicatifs et logiciels,4,3
106742,Contrôler l'étanchéité,1,1
109818,Elaborer des solutions techniques et fonctionnelles,2,2
300241,"Evaluer la mise en œuvre d'un projet, d'un plan d'action",1,1
109870,Java,7,3
122032,"Calculer les marges, la rentabilité d'un produit ou d'une activité",2,1
300242,Déterminer des mesures correctives,64,3
508617,Optimiser les performances des systèmes d'IA,30,1
478203,Analyse de données opérationnelles,3,1
122455,Sélectionner des canaux de communication,1,1
113255,Utilisation d'outils Business Intelligence (BI) - Informatique décisionnelle,5,3
109794,Intelligence artificielle,6,3
300152,Préparer du matériel en prévision d'un travail,2,2
494232,Evaluation de modèles d'IA,1,1
507589,Concevoir des architectures de sécurité,1,1
300469,"Préparer et animer une réunion, un groupe de travail, un atelier",7,4
405029,Certificat de capacité analyste de la performance,1,1
106861,Intégration de systèmes,2,2
300175,"Piloter la gestion de la production, de l'exploitation",2,1
113281,Script Shell,2,1
400285,"Mettre en place une blockchain (protocoles, consensus etc.)",1,1
300496,Identifier ses axes de progrès,2,1
116402,Formaliser les résultats d'une étude statistique de données,2,1
115287,Présider ou participer à un jury d'examen,1,1
104535,Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges,1,1
491028,"BTS services informatiques aux organisations option A : solutions d'infrastructure, systèmes et réseaux",1,1
