numero_fiche,intitule_certification,nombre_offres,codes_rome_distincts,methode_correspondance,niveau_confiance
RNCP42558,Biologie (fiche nationale),10,2,correspondance_officielle_france_competences,officiel
RNCP35921,"Gestion de production, logistique, achats (fiche nationale)",2,2,correspondance_officielle_france_competences,officiel
RNCP36964,Assistant import-export,1,1,correspondance_officielle_france_competences,officiel
RNCP37716,Programme Grande Ecole,3,2,correspondance_officielle_france_competences,officiel
RNCP38048,Responsable achats,2,2,correspondance_officielle_france_competences,officiel
RNCP39238,Manager de la performance achats,2,2,correspondance_officielle_france_competences,officiel
RNCP39399,Acheteur,2,2,correspondance_officielle_france_competences,officiel
RNCP39734,Manager de l’achat international,2,2,correspondance_officielle_france_competences,officiel
RNCP39844,Manager de la performance achat,2,2,correspondance_officielle_france_competences,officiel
RNCP40064,Logistique et pilotage des flux (fiche nationale),1,1,correspondance_officielle_france_competences,officiel
RNCP40609,Manager des achats,1,1,correspondance_officielle_france_competences,officiel
RNCP40713,Diplôme supérieur de management international,1,1,correspondance_officielle_france_competences,officiel
RNCP41232,Diplôme Supérieur en Logistique et Gestion de la Chaîne d'Approvisionnement,1,1,correspondance_officielle_france_competences,officiel
RNCP36889,Responsable comptable,2,1,correspondance_officielle_france_competences,officiel
RNCP37650,Contrôleur de gestion,2,1,correspondance_officielle_france_competences,officiel
RNCP38067,"Diplôme supérieur en marketing, commerce et gestion",4,2,correspondance_officielle_france_competences,officiel
RNCP38148,Diplôme supérieur en marketing commerce et gestion,4,2,correspondance_officielle_france_competences,officiel
RNCP39570,Coordinateur de projets de développement international et sociétal,4,2,correspondance_officielle_france_competences,officiel
RNCP39875,Responsable en Gestion Financière,2,1,correspondance_officielle_france_competences,officiel
RNCP40788,"Contrôle, Audit, Reporting financier",9,2,correspondance_officielle_france_competences,officiel
RNCP41059,Diplôme d'études supérieures spécialisées en Finance,9,2,correspondance_officielle_france_competences,officiel
RNCP41093,Métiers de la gestion et de la comptabilité : gestion comptable et financière (fiche nationale),2,1,correspondance_officielle_france_competences,officiel
RNCP41192,"Diplôme Supérieur en Marketing, Commerce et Gestion",4,2,correspondance_officielle_france_competences,officiel
RNCP41197,Diplôme en Finance ,9,2,correspondance_officielle_france_competences,officiel
RNCP41492,Responsable en comptabilité et contrôle de gestion,9,2,correspondance_officielle_france_competences,officiel
RNCP42364,Management (fiche nationale),2,1,correspondance_officielle_france_competences,officiel
RNCP38737,Sciences et ingénierie - Agro-industries,2,2,correspondance_officielle_france_competences,officiel
RNCP40994,Equipier polyvalent du commerce,1,1,correspondance_officielle_france_competences,officiel
RNCP38241,CQP Chargé de ressources humaines,5,2,correspondance_officielle_france_competences,officiel
RNCP38363,Gestion de la PME,4,1,correspondance_officielle_france_competences,officiel
RNCP38768,Chargé de gestion et de développement des ressources humaines,5,2,correspondance_officielle_france_competences,officiel
RNCP40670,Collaborateur paie,4,1,correspondance_officielle_france_competences,officiel
RNCP36833,Assistant en management opérationnel,4,3,correspondance_officielle_france_competences,officiel
RNCP36993,Responsable en planification et conduite des opérations aéromaritimes,1,1,correspondance_officielle_france_competences,officiel
RNCP39051,"Responsable en management des organisations : option ""Diriger une entité opérationnelle"" - option ""Coordonner des activités de management stratégique""",1,1,correspondance_officielle_france_competences,officiel
RNCP35408,Génie Électrique et Informatique Industrielle : Automatisme et Informatique Industrielle,16,3,correspondance_officielle_france_competences,officiel
RNCP36052,Webmaster et métiers de l'internet (fiche nationale),19,2,correspondance_officielle_france_competences,officiel
RNCP37586,"Ingénieur diplômé de l'Ecole nationale supérieure d'électronique, informatique, télécommunications, mathématique et mécanique de Bordeaux de l'Institut polytechnique de Bordeaux, spécialité Informatique",26,4,correspondance_officielle_france_competences,officiel
RNCP37805,Développeur Web,14,1,correspondance_officielle_france_competences,officiel
RNCP37827,Développeur en intelligence artificielle,14,1,correspondance_officielle_france_competences,officiel
RNCP38603,Développeur intelligence artificielle,14,1,correspondance_officielle_france_competences,officiel
RNCP38817,Chef de projet digital,16,3,correspondance_officielle_france_competences,officiel
RNCP39425,Expert en Ingénierie Informatique et Innovation Numérique,26,4,correspondance_officielle_france_competences,officiel
RNCP39549,Sciences et Ingénierie - Informatique,20,2,correspondance_officielle_france_competences,officiel
RNCP39618,Concepteur développeur d'applications web,14,1,correspondance_officielle_france_competences,officiel
RNCP39690,Sciences et technologies (fiche nationale),14,1,correspondance_officielle_france_competences,officiel
RNCP40128,Ingénieur diplômé de Télécom Saint-Étienne de l'Université de Saint-Étienne,25,3,correspondance_officielle_france_competences,officiel
RNCP40205,"Ingénieur diplômé de l'École nationale supérieure des mines de Saint-Étienne de l'institut Mines-Télécom, spécialité microélectronique et informatique",30,4,correspondance_officielle_france_competences,officiel
RNCP40329,Métiers de l'informatique : conduite de projets  (fiche nationale),25,3,correspondance_officielle_france_competences,officiel
