rome_code,competence_code,competence_libelle_rome,nombre_offres
M1405,300457,Définir et faire évoluer des procédés de traitement de l'information,19
H1206,300488,Concevoir et gérer un projet,6
M1889,508628,Documenter les processus et les architectures d'IA,27
M1419,478203,Analyse de données opérationnelles,3
M1827,300242,Déterminer des mesures correctives,60
M1805,481371,Gestion de projet informatique,1
M1419,121983,Assister une structure dans l'interprétation et l'analyse d'une étude,2
M1806,486790,Optimiser l'utilisation des ressources informatiques,2
H1215,482454,Communiquer des résultats de recherche à des non-spécialistes,1
H1215,300469,"Préparer et animer une réunion, un groupe de travail, un atelier",1
M1810,300203,Gérer une base de données numériques,1
I1616,300486,"Superviser des opérations, des actions",1
M1717,508467,Développer des stratégies d'innovation adaptées aux besoins du marché,1
I1306,300181,"Entretenir un équipement, une machine, une installation",1
M1805,403361,Surveiller les tendances du marché digital,1
M1827,113330,"Superviser, coordonner les réalisations ou développements informatiques (collaborateurs, sous-traitants)",1
M1855,300679,"Tester un logiciel, un système d'informations, une application",2
M1873,116397,Traiter des données,1
M1419,501122,Analyser des données pour identifier des tendances,2
K2108,497176,Rédaction de publications scientifiques,1
M1405,400367,Analyser des données pour prendre des décisions stratégiques,1
H1215,500668,Gérer la documentation technique et les archives de projets,1
M1805,484038,Promouvoir la collaboration entre les développeurs et les opérateurs pour une meilleure intégration,1
M1717,300245,"Piloter une démarche qualité, un processus d'amélioration continue",1
I1306,485122,Planifier les interventions en fonction des disponibilités des clients,1
M1805,491029,DUT informatique,1
M1855,400199,Analyser les besoins informatiques,2
M1419,501123,Optimiser des processus d'analyse de données,1
M1806,503735,Proposer des améliorations pour les systèmes existants,1
M1806,109794,Intelligence artificielle,1
M1811,109979,Surveiller le fonctionnement d'applicatifs et logiciels,1
M1502,109565,"Analyser les besoins de l'entreprise en formation, en recrutement et en mobilité professionnelle",1
I1306,300185,Réaliser un diagnostic technique,1
M1805,491247,Master mention informatique,1
M1889,504455,Respecter les normes éthiques dans le développement de l'IA,1
H1215,300470,"Travailler en groupe, en réseau",1
M1876,505354,Configurer des serveurs pour des applications Cloud,1
M1810,501946,Mettre en place des solutions de sauvegarde et de récupération des données,2
K2108,104548,Informatique,1
I1616,106979,Principe de fonctionnement d'un moteur diesel,1
K2205,300282,"Entretenir, nettoyer un espace, un lieu, un local",1
H1218,124529,Déterminer des axes d'évolution technologiques,1
M1895,109918,Identifier et interpréter les données et caractéristiques géographiques et analyser les résultats,1
I1310,300080,"Procéder à des tests, expérimentations",1
M1405,300428,Utiliser des logiciels spécifiques,1
D1106,300374,Présenter et valoriser un produit ou un service,1
M1405,124418,Réaliser un modèle de prévision,1
M1841,300418,"Promouvoir une proposition, un projet",1
M1805,484914,Collaborer avec les développeurs pour améliorer la qualité du logiciel,2
C1209,492912,Connaissance des indicateurs de risque de blanchiment,1
M1828,300469,"Préparer et animer une réunion, un groupe de travail, un atelier",1
M1508,108375,Méthode de Gestion Prévisionnelle des Emplois et des Compétences (GPEC),1
M1851,126422,Analyser les tendances du marché pour anticiper les besoins,1
I1401,106840,Configurer le poste de travail aux besoins de l'utilisateur,1
H2605,105775,"Vérifier le montage et le câblage (valeur des composants, continuité électrique, etc.)",1
H2605,300233,"Réaliser les travaux de montage, d'assemblage",1
